1790072102.505364226 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=67 power_uw=92091000 temp_mc=63000 load=3.45
1790072103.025257134 sclk=2895Mhz mclk=1000Mhz fclk=2000Mhz busy=81 power_uw=101094000 temp_mc=59000 load=3.25
1790072103.543138970 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=88 power_uw=110044000 temp_mc=71000 load=3.25
1790072104.062236590 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=93 power_uw=114069000 temp_mc=62000 load=3.25
1790072104.584145875 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=96 power_uw=118045000 temp_mc=71000 load=3.25
1790072105.102237730 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=98 power_uw=119077000 temp_mc=68000 load=3.25
1790072105.621047921 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=121044000 temp_mc=72000 load=3.25
1790072106.137242900 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=121026000 temp_mc=69000 load=3.25
1790072106.653594796 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=121040000 temp_mc=62000 load=3.25
1790072107.170399748 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120046000 temp_mc=70000 load=3.25
1790072107.687266387 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120087000 temp_mc=60000 load=3.07
1790072108.203496336 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123046000 temp_mc=71000 load=3.07
1790072108.720676298 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122050000 temp_mc=65000 load=3.07
1790072109.237233717 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123030000 temp_mc=67000 load=3.07
1790072109.757472782 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122003000 temp_mc=72000 load=3.07
1790072110.274727729 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122047000 temp_mc=64000 load=3.07
1790072110.793645834 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121037000 temp_mc=62000 load=3.07
1790072111.312689788 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121015000 temp_mc=72000 load=3.07
1790072111.828704468 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121033000 temp_mc=63000 load=3.07
1790072112.345105529 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121035000 temp_mc=61000 load=3.07
1790072112.863853257 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121071000 temp_mc=69000 load=2.91
1790072113.380104056 sclk=2894Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120080000 temp_mc=61000 load=2.91
1790072113.897704822 sclk=2894Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120074000 temp_mc=62000 load=2.91
1790072114.418028457 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122003000 temp_mc=62000 load=2.91
1790072114.935185478 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120078000 temp_mc=72000 load=2.91
1790072115.453475728 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121013000 temp_mc=63000 load=2.91
1790072115.971416120 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119093000 temp_mc=63000 load=2.91
1790072116.488495921 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121050000 temp_mc=68000 load=2.91
1790072117.005673164 sclk=2884Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120001000 temp_mc=61000 load=2.91
1790072117.524368083 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120087000 temp_mc=64000 load=2.91
1790072118.042475222 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119022000 temp_mc=69000 load=2.75
1790072118.556795480 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121038000 temp_mc=70000 load=2.75
1790072119.073370562 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120036000 temp_mc=70000 load=2.75
1790072119.589433098 sclk=2886Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120089000 temp_mc=72000 load=2.75
1790072120.106575091 sclk=2885Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120085000 temp_mc=67000 load=2.75
1790072120.622597264 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122019000 temp_mc=73000 load=2.75
1790072121.139286585 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120074000 temp_mc=72000 load=2.75
1790072121.657601204 sclk=2886Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=118097000 temp_mc=67000 load=2.75
1790072122.175969705 sclk=2884Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120079000 temp_mc=71000 load=2.75
1790072122.695184064 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121088000 temp_mc=63000 load=2.61
1790072123.213719222 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=64 power_uw=88079000 temp_mc=52000 load=2.61
1790072123.729127562 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=78 power_uw=103078000 temp_mc=65000 load=2.61
1790072124.246913558 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=87 power_uw=108014000 temp_mc=61000 load=2.61
1790072124.764875137 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=92 power_uw=113037000 temp_mc=66000 load=2.61
1790072125.281821502 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=95 power_uw=116070000 temp_mc=61000 load=2.61
1790072125.799908109 sclk=2885Mhz mclk=1000Mhz fclk=2000Mhz busy=97 power_uw=121077000 temp_mc=62000 load=2.61
1790072126.316157431 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=98 power_uw=121029000 temp_mc=68000 load=2.61
1790072126.833431016 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=122078000 temp_mc=64000 load=2.61
1790072127.352006488 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=122088000 temp_mc=73000 load=2.61
1790072127.869671814 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122030000 temp_mc=71000 load=2.48
1790072128.386668520 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123041000 temp_mc=71000 load=2.48
1790072128.902816766 sclk=2886Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122009000 temp_mc=69000 load=2.48
1790072129.420693675 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123061000 temp_mc=63000 load=2.48
1790072129.936111976 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123016000 temp_mc=70000 load=2.48
1790072130.453191021 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123030000 temp_mc=63000 load=2.48
1790072130.970690560 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121083000 temp_mc=70000 load=2.48
1790072131.488136630 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122002000 temp_mc=73000 load=2.48
1790072132.005101312 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121074000 temp_mc=63000 load=2.48
1790072132.522333230 sclk=2872Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=125074000 temp_mc=74000 load=2.48
1790072133.041282629 sclk=2879Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=124091000 temp_mc=74000 load=2.37
1790072133.558555305 sclk=2882Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122071000 temp_mc=63000 load=2.37
1790072134.075192273 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122013000 temp_mc=73000 load=2.37
1790072134.592862743 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121080000 temp_mc=65000 load=2.37
1790072135.112003456 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122073000 temp_mc=73000 load=2.37
1790072135.629362810 sclk=2885Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121077000 temp_mc=66000 load=2.37
1790072136.147657189 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120092000 temp_mc=70000 load=2.37
1790072136.666405255 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121014000 temp_mc=74000 load=2.37
1790072137.181234088 sclk=2886Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121047000 temp_mc=65000 load=2.37
1790072137.700225485 sclk=2884Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122040000 temp_mc=67000 load=2.26
1790072138.217569555 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121038000 temp_mc=73000 load=2.26
1790072138.735436884 sclk=2883Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120064000 temp_mc=63000 load=2.26
1790072139.250874329 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120079000 temp_mc=70000 load=2.26
1790072139.768261153 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121015000 temp_mc=63000 load=2.26
1790072140.285260567 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=119072000 temp_mc=68000 load=2.26
1790072140.807540874 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122033000 temp_mc=67000 load=2.26
1790072141.324958660 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121016000 temp_mc=72000 load=2.26
1790072141.843448759 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120070000 temp_mc=70000 load=2.26
1790072142.361714656 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121045000 temp_mc=65000 load=2.26
1790072142.881523265 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120080000 temp_mc=64000 load=2.16
1790072143.398764321 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121095000 temp_mc=74000 load=2.16
1790072143.913965879 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=63 power_uw=87097000 temp_mc=47000 load=2.16
1790072144.430959441 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=77 power_uw=101040000 temp_mc=72000 load=2.16
1790072144.948134825 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=87 power_uw=108090000 temp_mc=63000 load=2.16
1790072145.467932569 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=92 power_uw=113043000 temp_mc=69000 load=2.16
1790072145.986550937 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=95 power_uw=117015000 temp_mc=65000 load=2.16
1790072146.504486439 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=97 power_uw=120048000 temp_mc=73000 load=2.16
1790072147.022756924 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=98 power_uw=120068000 temp_mc=65000 load=2.16
1790072147.540293866 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=123007000 temp_mc=74000 load=2.16
1790072148.056128637 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=99 power_uw=121032000 temp_mc=72000 load=2.06
1790072148.576150199 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121059000 temp_mc=62000 load=2.06
1790072149.091988609 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122013000 temp_mc=72000 load=2.06
1790072149.608839651 sclk=2890Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122013000 temp_mc=63000 load=2.06
1790072150.125072998 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=124023000 temp_mc=75000 load=2.06
1790072150.643415356 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123048000 temp_mc=65000 load=2.06
1790072151.161051351 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122082000 temp_mc=71000 load=2.06
1790072151.676663199 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121050000 temp_mc=68000 load=2.06
1790072152.191606186 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121003000 temp_mc=64000 load=2.06
1790072152.709197680 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122032000 temp_mc=72000 load=1.98
1790072153.223985436 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122063000 temp_mc=66000 load=1.98
1790072153.744496000 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121022000 temp_mc=65000 load=1.98
1790072154.261075969 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122037000 temp_mc=74000 load=1.98
1790072154.778477829 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120017000 temp_mc=63000 load=1.98
1790072155.295491779 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123063000 temp_mc=66000 load=1.98
1790072155.813315257 sclk=2892Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121094000 temp_mc=63000 load=1.98
1790072156.328999520 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122036000 temp_mc=74000 load=1.98
1790072156.846531881 sclk=2886Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121032000 temp_mc=69000 load=1.98
1790072157.365265489 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120072000 temp_mc=67000 load=1.98
1790072157.883230177 sclk=2889Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122094000 temp_mc=74000 load=1.90
1790072158.406661049 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120095000 temp_mc=63000 load=1.90
1790072158.922623261 sclk=2884Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121013000 temp_mc=67000 load=1.90
1790072159.439492104 sclk=2883Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122003000 temp_mc=71000 load=1.90
1790072159.956452702 sclk=2885Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121082000 temp_mc=64000 load=1.90
1790072160.472307425 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121042000 temp_mc=74000 load=1.90
1790072160.989230312 sclk=2886Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122037000 temp_mc=73000 load=1.90
1790072161.505693866 sclk=2888Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122025000 temp_mc=75000 load=1.90
1790072162.027029761 sclk=2882Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122034000 temp_mc=64000 load=1.90
1790072162.543283461 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=120074000 temp_mc=64000 load=1.90
1790072163.062128769 sclk=2878Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=122088000 temp_mc=72000 load=1.99
1790072163.581590102 sclk=2884Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=123020000 temp_mc=64000 load=1.99
1790072164.098635397 sclk=2887Mhz mclk=1000Mhz fclk=2000Mhz busy=100 power_uw=121089000 temp_mc=68000 load=1.99
1790072164.615300075 sclk=2891Mhz mclk=1000Mhz fclk=2000Mhz busy=68 power_uw=92070000 temp_mc=48000 load=1.99
1790072165.133413357 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=75 power_uw=98051000 temp_mc=61000 load=1.99
1790072165.651735333 sclk=2893Mhz mclk=1000Mhz fclk=2000Mhz busy=85 power_uw=105056000 temp_mc=70000 load=1.99
